	label	#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
0	1	ACTA1	ZYX	9606.ENSP00000355645	9606.ENSP00000324422	0.0	0.0	0	0.0	0.062	0.056	0.9	0.514	0.951
1	1	ACTA1	PAK3	9606.ENSP00000355645	9606.ENSP00000353864	0.0	0.0	0	0.0	0.0	0.112	0.9	0.167	0.919
3	1	ADAMTSL1	SBSPON	9606.ENSP00000369921	9606.ENSP00000297354	0.0	0.0	0	0.0	0.0	0.0	0.9	0.041	0.9
4	1	DLG1	GRIN2A	9606.ENSP00000345731	9606.ENSP00000379818	0.0	0.0	0	0.0	0.0	0.723	0.6	0.966	0.996
5	1	DLG1	GRIA1	9606.ENSP00000345731	9606.ENSP00000428994	0.0	0.0	0	0.0	0.062	0.84	0.9	0.99	0.999
8	1	GREB1	TNRC6C	9606.ENSP00000370896	9606.ENSP00000336783	0.0	0.0	0	0.0	0.0	0.0	0.9	0.085	0.904
9	1	GRIN2A	GRIN3B	9606.ENSP00000379818	9606.ENSP00000234389	0.0	0.0	0	0.656	0.056	0.486	0.8	0.868	0.925
16	1	IFI44L	RSAD2	9606.ENSP00000359787	9606.ENSP00000371471	0.0	0.0	0	0.0	0.84	0.0	0.0	0.741	0.956
17	1	IMPA1	MIOX	9606.ENSP00000408526	9606.ENSP00000216075	0.0	0.0	0	0.0	0.049	0.0	0.9	0.156	0.912
18	1	NBN	RBBP8	9606.ENSP00000265433	9606.ENSP00000382628	0.0	0.0	0	0.0	0.09	0.882	0.9	0.784	0.997
19	1	NUP153	NUP98	9606.ENSP00000444029	9606.ENSP00000316032	0.0	0.0	0	0.0	0.3	0.478	0.9	0.968	0.998
21	1	PALB2	RBBP8	9606.ENSP00000261584	9606.ENSP00000382628	0.0	0.0	0	0.0	0.072	0.27	0.6	0.751	0.923
22	1	PHF20	TAF1	9606.ENSP00000363124	9606.ENSP00000406549	0.0	0.0	0	0.0	0.11	0.368	0.9	0.082	0.941
23	1	RB1	SIRT1	9606.ENSP00000267163	9606.ENSP00000212015	0.0	0.0	0	0.0	0.063	0.487	0.9	0.276	0.96
24	1	RB1	TAF1	9606.ENSP00000267163	9606.ENSP00000406549	0.0	0.0	0	0.0	0.0	0.835	0.9	0.112	0.984
25	1	TAF1	TAF1L	9606.ENSP00000406549	9606.ENSP00000418379	0.0	0.0	0	0.986	0.0	0.0	0.9	0.592	0.9
26	1	XRN1	ZFP36	9606.ENSP00000264951	9606.ENSP00000469647	0.0	0.0	0	0.0	0.049	0.612	0.6	0.57	0.928
