#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACBD4	PEX3	9606.ENSP00000405969	9606.ENSP00000356563	0	0	0	0	0.063	0	0	0.471	0.483
ACSM1	APBA3	9606.ENSP00000301956	9606.ENSP00000315136	0	0	0	0	0	0.483	0	0	0.483
ACTA1	ZYX	9606.ENSP00000355645	9606.ENSP00000324422	0	0	0	0	0.062	0.056	0.900	0.514	0.951
ACTA1	ACTB	9606.ENSP00000355645	9606.ENSP00000349960	0	0	0	0.986	0	0.805	0	0.498	0.806
ACTA1	PAK3	9606.ENSP00000355645	9606.ENSP00000353864	0	0	0	0	0	0.112	0.900	0.167	0.919
ACTA1	MYO5A	9606.ENSP00000355645	9606.ENSP00000382177	0	0	0	0	0.062	0.283	0	0.309	0.495
ACTB	SIRT1	9606.ENSP00000349960	9606.ENSP00000212015	0	0	0	0	0.062	0.092	0	0.725	0.745
ACTB	SELP	9606.ENSP00000349960	9606.ENSP00000263686	0	0	0	0	0	0	0	0.411	0.411
ACTB	RB1	9606.ENSP00000349960	9606.ENSP00000267163	0	0	0	0	0.062	0	0	0.538	0.548
ACTB	NEUROD1	9606.ENSP00000349960	9606.ENSP00000295108	0	0	0	0	0	0	0	0.444	0.444
ACTB	MAP1B	9606.ENSP00000349960	9606.ENSP00000296755	0	0	0	0	0	0.213	0	0.352	0.468
ACTB	ZYX	9606.ENSP00000349960	9606.ENSP00000324422	0	0	0	0	0.130	0.056	0.800	0.397	0.887
ACTB	SOCS1	9606.ENSP00000349960	9606.ENSP00000329418	0	0	0	0	0	0	0	0.514	0.514
ACTB	HIST1H2AD	9606.ENSP00000349960	9606.ENSP00000341094	0	0	0	0	0.063	0.123	0.900	0.050	0.911
ACTB	ZFP36	9606.ENSP00000349960	9606.ENSP00000469647	0	0	0	0	0	0.151	0	0.325	0.402
ACTB	GRIN2A	9606.ENSP00000349960	9606.ENSP00000379818	0	0	0	0	0	0.060	0	0.602	0.610
ACTB	GRIA1	9606.ENSP00000349960	9606.ENSP00000428994	0	0	0	0	0	0.061	0	0.607	0.615
ACTB	MYO5A	9606.ENSP00000349960	9606.ENSP00000382177	0	0	0	0	0.062	0.283	0.600	0.369	0.807
ADAMTSL1	SBSPON	9606.ENSP00000369921	9606.ENSP00000297354	0	0	0	0	0	0	0.900	0.041	0.900
ADCY8	QPCTL	9606.ENSP00000286355	9606.ENSP00000012049	0	0	0	0	0	0	0	0.468	0.468
ADCY8	GRIA1	9606.ENSP00000286355	9606.ENSP00000428994	0	0	0	0	0.160	0	0	0.320	0.404
ADCY8	LINGO2	9606.ENSP00000286355	9606.ENSP00000369328	0	0	0	0	0.077	0.057	0	0.373	0.406
ADCY8	ANO2	9606.ENSP00000286355	9606.ENSP00000348453	0	0	0	0	0.072	0	0	0.393	0.414
ADCY8	GNPDA2	9606.ENSP00000286355	9606.ENSP00000295448	0	0	0	0	0	0	0	0.459	0.459
ADCY8	GRIN2A	9606.ENSP00000286355	9606.ENSP00000379818	0	0	0	0	0.228	0	0	0.764	0.810
ADTRP	GALNTL6	9606.ENSP00000229583	9606.ENSP00000423313	0	0	0	0	0.062	0	0	0.437	0.450
AIPL1	RD3	9606.ENSP00000370521	9606.ENSP00000355969	0	0	0	0	0.062	0	0	0.714	0.720
