#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTA1	ZYX	9606.ENSP00000355645	9606.ENSP00000324422	0	0	0	0	0.062	0.056	0.900	0.514	0.951
ACTA1	ACTB	9606.ENSP00000355645	9606.ENSP00000349960	0	0	0	0.986	0	0.805	0	0.498	0.806
ACTA1	PAK3	9606.ENSP00000355645	9606.ENSP00000353864	0	0	0	0	0	0.112	0.900	0.167	0.919
ACTB	SIRT1	9606.ENSP00000349960	9606.ENSP00000212015	0	0	0	0	0.062	0.092	0	0.725	0.745
ACTB	ZYX	9606.ENSP00000349960	9606.ENSP00000324422	0	0	0	0	0.130	0.056	0.800	0.397	0.887
ACTB	HIST1H2AD	9606.ENSP00000349960	9606.ENSP00000341094	0	0	0	0	0.063	0.123	0.900	0.050	0.911
ACTB	MYO5A	9606.ENSP00000349960	9606.ENSP00000382177	0	0	0	0	0.062	0.283	0.600	0.369	0.807
ADAMTSL1	SBSPON	9606.ENSP00000369921	9606.ENSP00000297354	0	0	0	0	0	0	0.900	0.041	0.900
ADCY8	GRIN2A	9606.ENSP00000286355	9606.ENSP00000379818	0	0	0	0	0.228	0	0	0.764	0.810
AIPL1	RD3	9606.ENSP00000370521	9606.ENSP00000355969	0	0	0	0	0.062	0	0	0.714	0.720
DLG1	GRIK5	9606.ENSP00000345731	9606.ENSP00000262895	0	0	0	0	0	0.104	0.600	0.617	0.850
DLG1	GRIN2A	9606.ENSP00000345731	9606.ENSP00000379818	0	0	0	0	0	0.723	0.600	0.966	0.996
DLG1	GRIA1	9606.ENSP00000345731	9606.ENSP00000428994	0	0	0	0	0.062	0.840	0.900	0.990	0.999
DOCK4	RPL23	9606.ENSP00000404179	9606.ENSP00000420311	0.111	0	0	0	0.702	0.770	0	0.112	0.938
FOXK1	HIST1H2AD	9606.ENSP00000328720	9606.ENSP00000341094	0	0	0	0	0	0.078	0.900	0	0.903
GFM1	RPL23	9606.ENSP00000419038	9606.ENSP00000420311	0.167	0	0	0	0.482	0.525	0	0.223	0.819
GREB1	TNRC6C	9606.ENSP00000370896	9606.ENSP00000336783	0	0	0	0	0	0	0.900	0.085	0.904
GRIA1	GRIN3B	9606.ENSP00000428994	9606.ENSP00000234389	0	0	0	0.590	0.064	0.090	0.720	0.563	0.798
GRIA1	GRIN2A	9606.ENSP00000428994	9606.ENSP00000379818	0	0	0	0.598	0.181	0.182	0.720	0.908	0.870
GRIA1	MYO5A	9606.ENSP00000428994	9606.ENSP00000382177	0	0	0	0	0.089	0.317	0	0.569	0.709
GRIK5	GRIN2A	9606.ENSP00000262895	9606.ENSP00000379818	0	0	0	0.595	0.107	0.149	0.540	0.681	0.722
GRIN2A	GRIN3B	9606.ENSP00000379818	9606.ENSP00000234389	0	0	0	0.656	0.056	0.486	0.800	0.868	0.925
GRIN3B	LPPR3	9606.ENSP00000234389	9606.ENSP00000352962	0	0	0	0	0	0	0	0.752	0.752
HIST1H2AD	RB1	9606.ENSP00000341094	9606.ENSP00000267163	0	0	0	0	0	0	0.900	0.062	0.902
HIST1H2AD	TNRC6C	9606.ENSP00000341094	9606.ENSP00000336783	0	0	0	0	0	0	0.900	0.047	0.900
HIST1H2AD	HIST1H2BL	9606.ENSP00000341094	9606.ENSP00000366618	0	0	0	0	0.388	0.214	0.800	0.325	0.926
HIST1H2AD	HIST1H3J	9606.ENSP00000341094	9606.ENSP00000352252	0	0.001	0	0	0.279	0.836	0	0.497	0.935
HIST1H2BL	SIRT1	9606.ENSP00000366618	9606.ENSP00000212015	0	0	0	0	0.055	0.212	0.600	0.142	0.710
HIST1H2BL	RB1	9606.ENSP00000366618	9606.ENSP00000267163	0	0	0	0	0	0	0.900	0.042	0.900
HIST1H2BL	TNRC6C	9606.ENSP00000366618	9606.ENSP00000336783	0	0	0	0	0	0	0.900	0	0.900
HIST1H2BL	HIST1H3J	9606.ENSP00000366618	9606.ENSP00000352252	0	0.001	0	0	0.434	0.247	0	0.412	0.727
IFI44L	RSAD2	9606.ENSP00000359787	9606.ENSP00000371471	0	0	0	0	0.840	0	0	0.741	0.956
IMPA1	MIOX	9606.ENSP00000408526	9606.ENSP00000216075	0	0	0	0	0.049	0	0.900	0.156	0.912
LHX3	NEUROD1	9606.ENSP00000360811	9606.ENSP00000295108	0	0	0	0	0.512	0	0	0.537	0.764
NBN	PALB2	9606.ENSP00000265433	9606.ENSP00000261584	0	0	0	0	0	0	0.600	0.570	0.820
NBN	RBBP8	9606.ENSP00000265433	9606.ENSP00000382628	0	0	0	0	0.090	0.882	0.900	0.784	0.997
