#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA4	KCNJ13	9606.ENSP00000359245	9606.ENSP00000233826	0	0	0	0	0	0	0	0.329	0.329
ABCA4	TTR	9606.ENSP00000359245	9606.ENSP00000237014	0	0	0	0	0	0.157	0	0.235	0.327
ABCA4	SLC10A2	9606.ENSP00000359245	9606.ENSP00000245312	0	0	0	0	0	0	0	0.151	0.151
ABCA4	SERPINF1	9606.ENSP00000359245	9606.ENSP00000254722	0	0	0	0	0	0.077	0	0.158	0.190
ABCA4	GALNT5	9606.ENSP00000359245	9606.ENSP00000259056	0	0	0	0	0	0.076	0	0.173	0.203
ABCA4	RPE65	9606.ENSP00000359245	9606.ENSP00000262340	0	0	0	0	0.049	0	0	0.808	0.809
ABCA4	TYR	9606.ENSP00000359245	9606.ENSP00000263321	0	0	0	0	0.065	0	0	0.235	0.254
ABCA4	SIX6	9606.ENSP00000359245	9606.ENSP00000328596	0	0	0	0	0	0	0	0.235	0.235
ABCA4	ALX4	9606.ENSP00000359245	9606.ENSP00000332744	0	0	0	0	0.055	0.057	0	0.294	0.315
ABCA4	SLC22A8	9606.ENSP00000359245	9606.ENSP00000337335	0	0	0	0	0.062	0.102	0	0.119	0.193
ABCA4	TFAP2A	9606.ENSP00000359245	9606.ENSP00000368924	0	0	0	0	0.076	0	0	0.125	0.156
ABCA4	VSX1	9606.ENSP00000359245	9606.ENSP00000365899	0	0	0	0	0	0.060	0	0.171	0.188
ABCA4	TRPM1	9606.ENSP00000359245	9606.ENSP00000437849	0	0	0	0	0.062	0	0	0.260	0.276
ACCS	CRYM	9606.ENSP00000263776	9606.ENSP00000219599	0.115	0	0	0	0	0	0	0.140	0.206
ACCS	FCRL3	9606.ENSP00000263776	9606.ENSP00000357167	0	0	0	0	0	0	0	0.254	0.254
ACPP	TFAP2C	9606.ENSP00000323036	9606.ENSP00000201031	0	0	0	0	0	0.152	0	0	0.151
ACPP	KCNJ13	9606.ENSP00000323036	9606.ENSP00000233826	0	0	0	0	0	0	0	0.248	0.248
