#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA4	RPE65	9606.ENSP00000359245	9606.ENSP00000262340	0	0	0	0	0.049	0	0	0.808	0.809
AGTR1	IGF1	9606.ENSP00000419422	9606.ENSP00000302665	0	0	0	0	0.062	0	0	0.391	0.404
AGTR1	AGTR2	9606.ENSP00000419422	9606.ENSP00000360973	0	0	0	0.844	0.062	0	0.800	0.906	0.831
AGTR1	TRPV4	9606.ENSP00000419422	9606.ENSP00000406191	0	0	0	0	0	0.176	0	0.584	0.643
AGTR2	CHRM1	9606.ENSP00000360973	9606.ENSP00000306490	0	0	0	0	0.062	0	0.900	0.048	0.902
AMBN	RASSF6	9606.ENSP00000313809	9606.ENSP00000340578	0	0	0	0	0	0	0	0.422	0.422
AMBN	ODAM	9606.ENSP00000313809	9606.ENSP00000379401	0	0	0	0	0	0	0	0.831	0.831
ANKRD30A	SCGB2A1	9606.ENSP00000354432	9606.ENSP00000244930	0	0	0	0	0.077	0	0	0.427	0.448
ANKRD66	LRRC71	9606.ENSP00000454770	9606.ENSP00000336661	0	0	0	0	0.062	0	0	0.658	0.666
ANKRD66	TMC5	9606.ENSP00000454770	9606.ENSP00000379531	0	0	0	0	0	0	0	0.541	0.541
ARHGEF5	ODAM	9606.ENSP00000056217	9606.ENSP00000379401	0	0	0	0	0	0	0	0.677	0.677
BARX2	NKX6-3	9606.ENSP00000281437	9606.ENSP00000429553	0	0	0	0	0.049	0.148	0	0.334	0.413
BCAN	PMP2	9606.ENSP00000331210	9606.ENSP00000256103	0	0	0	0	0.282	0.061	0	0.445	0.593
BCAN	MAG	9606.ENSP00000331210	9606.ENSP00000376048	0	0	0	0	0.314	0.062	0	0.372	0.560
C1orf141	DNAJC5G	9606.ENSP00000360046	9606.ENSP00000296097	0	0	0	0	0.065	0	0	0.520	0.532
C5orf58	SLN	9606.ENSP00000471984	9606.ENSP00000435380	0	0	0	0	0	0	0	0.458	0.457
CHRM1	SLC17A7	9606.ENSP00000306490	9606.ENSP00000221485	0	0	0	0	0.345	0	0	0.274	0.504
CHRM1	LAMB1	9606.ENSP00000306490	9606.ENSP00000222399	0	0	0	0	0.062	0	0.900	0	0.902
CHRM1	PPP1R1B	9606.ENSP00000306490	9606.ENSP00000254079	0	0	0	0	0.349	0	0	0.151	0.424
CHRM1	SLC39A12	9606.ENSP00000306490	9606.ENSP00000366586	0	0	0	0	0.345	0	0	0.135	0.409
CHRM1	MAG	9606.ENSP00000306490	9606.ENSP00000376048	0	0	0	0	0.445	0	0	0	0.445
CHRM1	SLC18A3	9606.ENSP00000306490	9606.ENSP00000363229	0	0	0	0	0.062	0	0	0.511	0.522
CLCNKA	CLIC6	9606.ENSP00000332771	9606.ENSP00000290332	0	0	0	0	0	0	0.540	0.161	0.598
CLCNKA	TMC5	9606.ENSP00000332771	9606.ENSP00000379531	0	0	0	0	0	0	0	0.499	0.499
CLIC6	FRK	9606.ENSP00000290332	9606.ENSP00000476145	0	0	0	0	0	0.524	0	0	0.524
COBLL1	SLC38A11	9606.ENSP00000341360	9606.ENSP00000386272	0	0	0	0	0.060	0	0	0.459	0.469
CRYM	FEZF2	9606.ENSP00000219599	9606.ENSP00000283268	0	0	0	0	0.086	0	0	0.425	0.452
CRYM	SLC17A7	9606.ENSP00000219599	9606.ENSP00000221485	0	0	0	0	0.165	0	0	0.397	0.475
CRYM	TTR	9606.ENSP00000219599	9606.ENSP00000237014	0.046	0	0	0	0.084	0	0	0.667	0.683
CYP11A1	HSD17B2	9606.ENSP00000268053	9606.ENSP00000199936	0	0	0	0	0	0.058	0	0.580	0.587
