#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTA1	VEGFA	9606.ENSP00000355645	9606.ENSP00000478570	0	0	0	0	0	0	0.900	0.322	0.929
ADAMTS9	THBS1	9606.ENSP00000418735	9606.ENSP00000260356	0	0	0	0.541	0.054	0.123	0.900	0.309	0.921
ADAMTS9	ADAMTSL4	9606.ENSP00000418735	9606.ENSP00000358035	0	0	0	0.629	0	0	0.900	0.599	0.921
ADAMTSL4	THBS1	9606.ENSP00000358035	9606.ENSP00000260356	0	0	0	0.541	0.089	0.074	0.900	0.156	0.913
ADM	CALCA	9606.ENSP00000436607	9606.ENSP00000331746	0	0	0	0	0	0	0.800	0.878	0.974
ALOX15B	LIF	9606.ENSP00000369530	9606.ENSP00000249075	0	0	0	0	0	0	0.900	0	0.900
BATF	PIM1	9606.ENSP00000286639	9606.ENSP00000362608	0	0	0	0	0.065	0.078	0.900	0	0.906
BATF	MYC	9606.ENSP00000286639	9606.ENSP00000479618	0	0	0	0	0	0	0.900	0.310	0.928
BATF	CEBPD	9606.ENSP00000286639	9606.ENSP00000386165	0	0	0	0	0	0.302	0.900	0.146	0.935
CCL2	CXCR2	9606.ENSP00000225831	9606.ENSP00000319635	0	0	0	0	0	0.057	0.600	0.826	0.929
CCL2	LIF	9606.ENSP00000225831	9606.ENSP00000249075	0	0	0	0	0.098	0	0.900	0.506	0.951
CCL2	CCL20	9606.ENSP00000225831	9606.ENSP00000351671	0	0	0	0	0.107	0	0.900	0.784	0.979
CCL2	IL1B	9606.ENSP00000225831	9606.ENSP00000263341	0	0	0	0	0.127	0	0.900	0.927	0.993
CCL2	IL6	9606.ENSP00000225831	9606.ENSP00000385675	0	0	0	0	0.267	0	0.900	0.930	0.994
CCL20	LIF	9606.ENSP00000351671	9606.ENSP00000249075	0	0	0	0	0.140	0	0.900	0.268	0.931
CCL20	IL1B	9606.ENSP00000351671	9606.ENSP00000263341	0	0	0	0	0.602	0	0.900	0.743	0.988
CCL20	IL6	9606.ENSP00000351671	9606.ENSP00000385675	0	0	0	0	0.245	0	0.900	0.757	0.980
CD14	TLR2	9606.ENSP00000304236	9606.ENSP00000260010	0	0	0	0	0.611	0.656	0.900	0.825	0.997
CD160	HLA-G	9606.ENSP00000235933	9606.ENSP00000412927	0	0	0	0	0	0	0.600	0.942	0.975
CD163	IL6	9606.ENSP00000352071	9606.ENSP00000385675	0	0	0	0	0	0	0.900	0.710	0.969
CD44	TIMP1	9606.ENSP00000398632	9606.ENSP00000218388	0	0	0	0	0.158	0	0	0.952	0.958
CD44	TLR2	9606.ENSP00000398632	9606.ENSP00000260010	0	0	0	0	0.092	0	0	0.972	0.974
CD44	PDPN	9606.ENSP00000398632	9606.ENSP00000294489	0	0	0	0	0.063	0	0	0.920	0.923
CD44	CXCR2	9606.ENSP00000398632	9606.ENSP00000319635	0	0	0	0	0.062	0	0	0.971	0.971
CDKN1A	SOCS3	9606.ENSP00000384849	9606.ENSP00000330341	0	0	0	0	0.095	0	0.900	0.242	0.925
CDKN1A	GADD45A	9606.ENSP00000384849	9606.ENSP00000360025	0	0	0	0	0.112	0.867	0	0.977	0.997
CDKN1A	MYC	9606.ENSP00000384849	9606.ENSP00000479618	0	0	0	0	0	0.307	0.900	0.748	0.981
CEBPD	PIM1	9606.ENSP00000386165	9606.ENSP00000362608	0	0	0	0	0	0.139	0.900	0	0.910
CEBPD	MYC	9606.ENSP00000386165	9606.ENSP00000479618	0	0	0	0	0.063	0.102	0.900	0.394	0.942
CISH	SOCS1	9606.ENSP00000409346	9606.ENSP00000329418	0	0	0	0.709	0.082	0	0.900	0.895	0.929
CISH	IL2RA	9606.ENSP00000409346	9606.ENSP00000369293	0	0	0	0	0.061	0	0.900	0.335	0.932
COL1A1	SERPINH1	9606.ENSP00000225964	9606.ENSP00000434412	0	0	0	0	0.400	0.183	0.600	0.665	0.925
FPR1	PLAUR	9606.ENSP00000471493	9606.ENSP00000339328	0	0	0	0	0.141	0	0.900	0.830	0.984
GADD45A	GADD45B	9606.ENSP00000360025	9606.ENSP00000215631	0	0	0	0.951	0.108	0.270	0.900	0.816	0.932
GBP2	HLA-G	9606.ENSP00000359497	9606.ENSP00000412927	0	0	0	0	0.060	0	0.900	0.081	0.906
IL18R1	IL18RAP	9606.ENSP00000387211	9606.ENSP00000264260	0	0	0	0.686	0.526	0.800	0.900	0.975	0.992
IL1B	OSM	9606.ENSP00000263341	9606.ENSP00000215781	0	0	0	0	0.361	0	0	0.910	0.940
IL1B	LIF	9606.ENSP00000263341	9606.ENSP00000249075	0	0	0	0	0.069	0	0.900	0.594	0.958
IL1B	TLR2	9606.ENSP00000263341	9606.ENSP00000260010	0	0	0	0	0.280	0	0	0.883	0.912
IL1B	IL6	9606.ENSP00000263341	9606.ENSP00000385675	0	0	0	0	0.427	0	0.900	0.953	0.997
IL1B	IL1R2	9606.ENSP00000263341	9606.ENSP00000330959	0	0	0	0	0.197	0.837	0.900	0.988	0.999
IL2RA	SOCS1	9606.ENSP00000369293	9606.ENSP00000329418	0	0	0	0	0	0	0.900	0.401	0.937
IL2RA	SOCS3	9606.ENSP00000369293	9606.ENSP00000330341	0	0	0	0	0.062	0	0.900	0.323	0.930
IL6	OSM	9606.ENSP00000385675	9606.ENSP00000215781	0	0	0	0	0.097	0.270	0.900	0.760	0.982
IL6	TIMP1	9606.ENSP00000385675	9606.ENSP00000218388	0	0	0	0	0.100	0	0.900	0.740	0.974
IL6	LIF	9606.ENSP00000385675	9606.ENSP00000249075	0	0	0	0	0.178	0	0.900	0.761	0.978
IL6	SOCS3	9606.ENSP00000385675	9606.ENSP00000330341	0	0	0	0	0.209	0	0.900	0.814	0.984
IL6	VEGFA	9606.ENSP00000385675	9606.ENSP00000478570	0	0	0	0	0.063	0	0.900	0.879	0.987
ITGA5	PLAUR	9606.ENSP00000293379	9606.ENSP00000339328	0	0	0	0	0.170	0	0.900	0.346	0.941
LIF	OSM	9606.ENSP00000249075	9606.ENSP00000215781	0	0	0	0	0	0	0.600	0.835	0.931
LIF	TIMP1	9606.ENSP00000249075	9606.ENSP00000218388	0	0	0	0	0.098	0	0.900	0.335	0.934
LIF	VEGFA	9606.ENSP00000249075	9606.ENSP00000478570	0	0	0	0	0.093	0	0.900	0.598	0.960
LOX	LOXL4	9606.ENSP00000231004	9606.ENSP00000260702	0	0	0	0.817	0.119	0	0.900	0.800	0.921
LOX	MFAP2	9606.ENSP00000231004	9606.ENSP00000364685	0	0	0	0	0.127	0	0.900	0.465	0.949
LOXL4	MFAP2	9606.ENSP00000260702	9606.ENSP00000364685	0	0	0	0	0.060	0	0.900	0.209	0.919
MYC	PIM1	9606.ENSP00000479618	9606.ENSP00000362608	0	0	0	0	0.097	0.496	0.900	0.489	0.973
OSM	TIMP1	9606.ENSP00000215781	9606.ENSP00000218388	0	0	0	0	0	0	0.900	0.468	0.944
OSM	VEGFA	9606.ENSP00000215781	9606.ENSP00000478570	0	0	0	0	0	0	0.900	0.520	0.949
OSM	OSMR	9606.ENSP00000215781	9606.ENSP00000274276	0	0	0	0	0.062	0.493	0.800	0.975	0.997
PGF	VEGFA	9606.ENSP00000451040	9606.ENSP00000478570	0	0	0	0.897	0	0.830	0.900	0.988	0.984
PLAUR	SERPINE1	9606.ENSP00000339328	9606.ENSP00000223095	0	0	0	0	0.162	0	0.900	0.989	0.999
S100A8	S100A9	9606.ENSP00000357722	9606.ENSP00000357727	0	0	0	0.801	0.995	0.950	0.900	0.987	0.999
THBS1	VEGFA	9606.ENSP00000260356	9606.ENSP00000478570	0	0	0	0	0	0.270	0	0.895	0.920
