	label	#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
0	1	ACTA1	VEGFA	9606.ENSP00000355645	9606.ENSP00000478570	0	0	0	0.0	0.0	0.0	0.9	0.322	0.929
1	1	ADAMTS9	THBS1	9606.ENSP00000418735	9606.ENSP00000260356	0	0	0	0.541	0.054	0.123	0.9	0.309	0.921
2	1	ADAMTS9	ADAMTSL4	9606.ENSP00000418735	9606.ENSP00000358035	0	0	0	0.629	0.0	0.0	0.9	0.599	0.921
3	1	ADAMTSL4	THBS1	9606.ENSP00000358035	9606.ENSP00000260356	0	0	0	0.541	0.089	0.074	0.9	0.156	0.913
4	1	ADM	CALCA	9606.ENSP00000436607	9606.ENSP00000331746	0	0	0	0.0	0.0	0.0	0.8	0.878	0.974
5	1	ALOX15B	LIF	9606.ENSP00000369530	9606.ENSP00000249075	0	0	0	0.0	0.0	0.0	0.9	0.0	0.9
6	1	BATF	PIM1	9606.ENSP00000286639	9606.ENSP00000362608	0	0	0	0.0	0.065	0.078	0.9	0.0	0.906
7	1	BATF	MYC	9606.ENSP00000286639	9606.ENSP00000479618	0	0	0	0.0	0.0	0.0	0.9	0.31	0.928
8	1	BATF	CEBPD	9606.ENSP00000286639	9606.ENSP00000386165	0	0	0	0.0	0.0	0.302	0.9	0.146	0.935
9	1	CCL2	CXCR2	9606.ENSP00000225831	9606.ENSP00000319635	0	0	0	0.0	0.0	0.057	0.6	0.826	0.929
10	1	CCL2	LIF	9606.ENSP00000225831	9606.ENSP00000249075	0	0	0	0.0	0.098	0.0	0.9	0.506	0.951
11	1	CCL2	CCL20	9606.ENSP00000225831	9606.ENSP00000351671	0	0	0	0.0	0.107	0.0	0.9	0.784	0.979
12	1	CCL2	IL1B	9606.ENSP00000225831	9606.ENSP00000263341	0	0	0	0.0	0.127	0.0	0.9	0.927	0.993
13	1	CCL2	IL6	9606.ENSP00000225831	9606.ENSP00000385675	0	0	0	0.0	0.267	0.0	0.9	0.93	0.994
14	1	CCL20	LIF	9606.ENSP00000351671	9606.ENSP00000249075	0	0	0	0.0	0.14	0.0	0.9	0.268	0.931
15	1	CCL20	IL1B	9606.ENSP00000351671	9606.ENSP00000263341	0	0	0	0.0	0.602	0.0	0.9	0.743	0.988
16	1	CCL20	IL6	9606.ENSP00000351671	9606.ENSP00000385675	0	0	0	0.0	0.245	0.0	0.9	0.757	0.98
17	1	CD14	TLR2	9606.ENSP00000304236	9606.ENSP00000260010	0	0	0	0.0	0.611	0.656	0.9	0.825	0.997
18	1	CD160	HLA-G	9606.ENSP00000235933	9606.ENSP00000412927	0	0	0	0.0	0.0	0.0	0.6	0.942	0.975
19	1	CD163	IL6	9606.ENSP00000352071	9606.ENSP00000385675	0	0	0	0.0	0.0	0.0	0.9	0.71	0.969
20	1	CD44	TIMP1	9606.ENSP00000398632	9606.ENSP00000218388	0	0	0	0.0	0.158	0.0	0.0	0.952	0.958
21	1	CD44	TLR2	9606.ENSP00000398632	9606.ENSP00000260010	0	0	0	0.0	0.092	0.0	0.0	0.972	0.974
22	1	CD44	PDPN	9606.ENSP00000398632	9606.ENSP00000294489	0	0	0	0.0	0.063	0.0	0.0	0.92	0.923
23	1	CD44	CXCR2	9606.ENSP00000398632	9606.ENSP00000319635	0	0	0	0.0	0.062	0.0	0.0	0.971	0.971
24	1	CDKN1A	SOCS3	9606.ENSP00000384849	9606.ENSP00000330341	0	0	0	0.0	0.095	0.0	0.9	0.242	0.925
25	1	CDKN1A	GADD45A	9606.ENSP00000384849	9606.ENSP00000360025	0	0	0	0.0	0.112	0.867	0.0	0.977	0.997
26	1	CDKN1A	MYC	9606.ENSP00000384849	9606.ENSP00000479618	0	0	0	0.0	0.0	0.307	0.9	0.748	0.981
