#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTA1	ACTG2	9606.ENSP00000355645	9606.ENSP00000386857	0	0	0	0.987	0	0.800	0	0.394	0.800
ACTA1	VEGFA	9606.ENSP00000355645	9606.ENSP00000478570	0	0	0	0	0	0	0.900	0.322	0.929
ADAMTS9	THBS1	9606.ENSP00000418735	9606.ENSP00000260356	0	0	0	0.541	0.054	0.123	0.900	0.309	0.921
ADAMTS9	ADAMTSL4	9606.ENSP00000418735	9606.ENSP00000358035	0	0	0	0.629	0	0	0.900	0.599	0.921
ADAMTSL4	THBS1	9606.ENSP00000358035	9606.ENSP00000260356	0	0	0	0.541	0.089	0.074	0.900	0.156	0.913
ADM	GPR182	9606.ENSP00000436607	9606.ENSP00000300098	0	0	0	0	0	0	0	0.825	0.825
ADM	CALCA	9606.ENSP00000436607	9606.ENSP00000331746	0	0	0	0	0	0	0.800	0.878	0.974
ALOX15B	LIF	9606.ENSP00000369530	9606.ENSP00000249075	0	0	0	0	0	0	0.900	0	0.900
ANGPTL4	VEGFA	9606.ENSP00000301455	9606.ENSP00000478570	0	0	0	0	0.065	0.058	0	0.718	0.730
BATF	PIM1	9606.ENSP00000286639	9606.ENSP00000362608	0	0	0	0	0.065	0.078	0.900	0	0.906
BATF	MYC	9606.ENSP00000286639	9606.ENSP00000479618	0	0	0	0	0	0	0.900	0.310	0.928
BATF	CEBPD	9606.ENSP00000286639	9606.ENSP00000386165	0	0	0	0	0	0.302	0.900	0.146	0.935
CCL2	TIMP1	9606.ENSP00000225831	9606.ENSP00000218388	0	0	0	0	0.155	0	0	0.710	0.745
CCL2	SERPINE1	9606.ENSP00000225831	9606.ENSP00000223095	0	0	0	0	0.122	0	0	0.740	0.762
CCL2	TLR2	9606.ENSP00000225831	9606.ENSP00000260010	0	0	0	0	0.084	0	0	0.766	0.776
CCL2	VEGFA	9606.ENSP00000225831	9606.ENSP00000478570	0	0	0	0	0	0	0	0.856	0.856
CCL2	CXCR2	9606.ENSP00000225831	9606.ENSP00000319635	0	0	0	0	0	0.057	0.600	0.826	0.929
CCL2	LIF	9606.ENSP00000225831	9606.ENSP00000249075	0	0	0	0	0.098	0	0.900	0.506	0.951
CCL2	CCL20	9606.ENSP00000225831	9606.ENSP00000351671	0	0	0	0	0.107	0	0.900	0.784	0.979
CCL2	IL1B	9606.ENSP00000225831	9606.ENSP00000263341	0	0	0	0	0.127	0	0.900	0.927	0.993
CCL2	IL6	9606.ENSP00000225831	9606.ENSP00000385675	0	0	0	0	0.267	0	0.900	0.930	0.994
CCL20	LIF	9606.ENSP00000351671	9606.ENSP00000249075	0	0	0	0	0.140	0	0.900	0.268	0.931
CCL20	IL1B	9606.ENSP00000351671	9606.ENSP00000263341	0	0	0	0	0.602	0	0.900	0.743	0.988
CCL20	CXCR2	9606.ENSP00000351671	9606.ENSP00000319635	0	0	0	0	0	0	0.600	0.565	0.818
CCL20	IL6	9606.ENSP00000351671	9606.ENSP00000385675	0	0	0	0	0.245	0	0.900	0.757	0.980
CCL26	CXCR2	9606.ENSP00000378365	9606.ENSP00000319635	0	0	0	0	0	0	0.600	0.335	0.722
CCL8	CXCR2	9606.ENSP00000378118	9606.ENSP00000319635	0	0	0	0	0	0	0.600	0.463	0.776
CD14	TLR2	9606.ENSP00000304236	9606.ENSP00000260010	0	0	0	0	0.611	0.656	0.900	0.825	0.997
CD14	FCGR2A	9606.ENSP00000304236	9606.ENSP00000271450	0	0	0	0	0.360	0	0	0.675	0.783
CD14	STAB1	9606.ENSP00000304236	9606.ENSP00000312946	0	0	0	0	0.642	0	0	0.309	0.742
CD14	CD163	9606.ENSP00000304236	9606.ENSP00000352071	0	0	0	0	0.766	0	0	0.486	0.874
CD160	HLA-G	9606.ENSP00000235933	9606.ENSP00000412927	0	0	0	0	0	0	0.600	0.942	0.975
CD163	TLR2	9606.ENSP00000352071	9606.ENSP00000260010	0	0	0	0	0.560	0	0	0.510	0.775
