#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADGRE1	CCL2	9606.ENSP00000311545	9606.ENSP00000225831	0	0	0	0	0.042	0	0	0.521	0.522
ADGRE1	IFNG	9606.ENSP00000311545	9606.ENSP00000229135	0	0	0	0	0.093	0	0	0.412	0.444
ADGRE1	IL1B	9606.ENSP00000311545	9606.ENSP00000263341	0	0	0	0	0.062	0	0	0.488	0.500
ADGRE1	IL6	9606.ENSP00000311545	9606.ENSP00000385675	0	0	0	0	0.056	0	0	0.415	0.424
ADGRE1	FCGR1A	9606.ENSP00000311545	9606.ENSP00000358165	0	0	0	0	0.182	0.099	0	0.421	0.536
ADGRE2	SELP	9606.ENSP00000319883	9606.ENSP00000263686	0	0	0	0	0.070	0	0	0.456	0.473
ADGRG3	CXCR1	9606.ENSP00000332900	9606.ENSP00000295683	0	0	0	0	0.507	0	0	0.119	0.547
ADGRG3	FPR2	9606.ENSP00000332900	9606.ENSP00000468897	0	0	0	0	0.405	0	0	0.174	0.487
ADM	CCL2	9606.ENSP00000436607	9606.ENSP00000225831	0	0	0	0	0.144	0	0	0.375	0.442
ADM	IL1B	9606.ENSP00000436607	9606.ENSP00000263341	0	0	0	0	0.109	0	0	0.468	0.505
ADM	ANGPTL4	9606.ENSP00000436607	9606.ENSP00000301455	0	0	0	0	0.229	0	0	0.318	0.451
ADM	TM4SF1	9606.ENSP00000436607	9606.ENSP00000304277	0	0	0	0	0.097	0	0	0.365	0.402
ADM	CALCA	9606.ENSP00000436607	9606.ENSP00000331746	0	0	0	0	0	0	0.900	0.831	0.982
ADM	EDN1	9606.ENSP00000436607	9606.ENSP00000368683	0	0	0	0	0.064	0	0	0.829	0.834
ADM	IL6	9606.ENSP00000436607	9606.ENSP00000385675	0	0	0	0	0.115	0	0	0.511	0.548
AHSP	HBG2	9606.ENSP00000307199	9606.ENSP00000338082	0	0	0	0	0.638	0	0.540	0.463	0.902
ALLC	TTR	9606.ENSP00000252505	9606.ENSP00000237014	0.111	0	0	0	0.121	0	0.405	0.187	0.571
ANGPTL4	CCL2	9606.ENSP00000301455	9606.ENSP00000225831	0	0	0	0	0.062	0	0	0.396	0.409
ANGPTL4	HILPDA	9606.ENSP00000301455	9606.ENSP00000257696	0	0	0	0	0.252	0	0	0.375	0.512
ANGPTL4	THBS1	9606.ENSP00000301455	9606.ENSP00000260356	0	0	0	0	0.054	0.091	0	0.363	0.405
ANGPTL4	IL1B	9606.ENSP00000301455	9606.ENSP00000263341	0	0	0	0	0.060	0	0	0.418	0.430
ANGPTL4	EDN1	9606.ENSP00000301455	9606.ENSP00000368683	0	0	0	0	0.067	0	0	0.392	0.408
ANGPTL4	FFAR2	9606.ENSP00000301455	9606.ENSP00000473159	0	0	0	0	0	0	0	0.471	0.471
ANGPTL4	IL6	9606.ENSP00000301455	9606.ENSP00000385675	0	0	0	0	0.070	0	0	0.475	0.490
ANKRD22	SLAMF8	9606.ENSP00000360998	9606.ENSP00000289707	0	0	0	0	0.175	0.105	0	0.279	0.422
ANKRD22	FCGR1A	9606.ENSP00000360998	9606.ENSP00000358165	0	0	0	0	0.334	0	0	0.247	0.477
APOLD1	GPRC5A	9606.ENSP00000324277	9606.ENSP00000014914	0	0	0	0	0.045	0	0	0.445	0.447
BCL2A1	IFNG	9606.ENSP00000267953	9606.ENSP00000229135	0	0	0	0	0.128	0	0	0.373	0.430
BCL2A1	IL1B	9606.ENSP00000267953	9606.ENSP00000263341	0	0	0	0	0.355	0	0	0.480	0.650
BCL2A1	GPR84	9606.ENSP00000267953	9606.ENSP00000450310	0	0	0	0	0.311	0	0	0.172	0.405
BCL2A1	CASP5	9606.ENSP00000267953	9606.ENSP00000376849	0	0	0	0	0.154	0.125	0	0.331	0.462
BCL2A1	IL6	9606.ENSP00000267953	9606.ENSP00000385675	0	0	0	0	0.127	0	0	0.449	0.499
BOLA2B	SLX1A	9606.ENSP00000306752	9606.ENSP00000251303	0	0	0	0	0.095	0	0	0.446	0.477
CALCA	TTR	9606.ENSP00000331746	9606.ENSP00000237014	0	0	0	0	0.053	0	0.400	0.091	0.438
CALCA	EDN1	9606.ENSP00000331746	9606.ENSP00000368683	0	0	0	0	0	0	0	0.451	0.451
CASP5	TLR2	9606.ENSP00000376849	9606.ENSP00000260010	0	0	0	0	0.168	0.062	0	0.303	0.409
CASP5	IL1B	9606.ENSP00000376849	9606.ENSP00000263341	0	0	0	0	0.236	0.047	0	0.811	0.850
CASP5	IL6	9606.ENSP00000376849	9606.ENSP00000385675	0	0	0	0	0.100	0	0	0.581	0.607
CCL2	GADD45B	9606.ENSP00000225831	9606.ENSP00000215631	0	0	0	0	0.127	0	0	0.475	0.522
CCL2	OSM	9606.ENSP00000225831	9606.ENSP00000215781	0	0	0	0	0.095	0	0	0.506	0.533
CCL2	CSF3	9606.ENSP00000225831	9606.ENSP00000225474	0	0	0	0	0.146	0	0.400	0.875	0.930
CCL2	FFAR2	9606.ENSP00000225831	9606.ENSP00000473159	0	0	0	0	0.085	0	0	0.371	0.400
CCL2	SERPINA1	9606.ENSP00000225831	9606.ENSP00000416066	0	0	0	0	0.103	0	0	0.380	0.420
CCL2	S100A9	9606.ENSP00000225831	9606.ENSP00000357727	0	0	0	0	0.119	0	0	0.377	0.428
CCL2	CP	9606.ENSP00000225831	9606.ENSP00000264613	0	0	0	0	0.054	0	0	0.422	0.430
CCL2	IL1RL1	9606.ENSP00000225831	9606.ENSP00000233954	0	0	0	0	0.093	0	0	0.399	0.432
CCL2	CISH	9606.ENSP00000225831	9606.ENSP00000409346	0	0	0	0	0.113	0	0	0.398	0.443
CCL2	CDKN1A	9606.ENSP00000225831	9606.ENSP00000384849	0	0	0	0	0.186	0	0	0.400	0.490
CCL2	CD209	9606.ENSP00000225831	9606.ENSP00000315477	0	0	0	0	0.089	0	0	0.512	0.537
CCL2	IL2RA	9606.ENSP00000225831	9606.ENSP00000369293	0	0	0	0	0.056	0	0	0.579	0.585
CCL2	FCGR1A	9606.ENSP00000225831	9606.ENSP00000358165	0	0	0	0	0.111	0.096	0	0.529	0.588
CCL2	FPR2	9606.ENSP00000225831	9606.ENSP00000468897	0	0	0	0	0.088	0	0	0.580	0.601
CCL2	CHI3L1	9606.ENSP00000225831	9606.ENSP00000255409	0	0	0	0	0.116	0	0	0.578	0.611
CCL2	FPR1	9606.ENSP00000225831	9606.ENSP00000471493	0	0	0	0	0.099	0	0	0.588	0.613
CCL2	IL1R2	9606.ENSP00000225831	9606.ENSP00000330959	0	0	0	0	0.056	0.099	0	0.588	0.618
CCL2	IL4R	9606.ENSP00000225831	9606.ENSP00000379111	0	0	0	0	0.048	0	0	0.663	0.665
CCL2	THBD	9606.ENSP00000225831	9606.ENSP00000366307	0	0	0	0	0.102	0	0	0.650	0.672
CCL2	TREM1	9606.ENSP00000225831	9606.ENSP00000244709	0	0	0	0	0.055	0	0	0.669	0.673
CCL2	FCGR2A	9606.ENSP00000225831	9606.ENSP00000271450	0	0	0	0	0.061	0	0	0.675	0.682
CCL2	SELP	9606.ENSP00000225831	9606.ENSP00000263686	0	0	0	0	0.069	0	0	0.701	0.710
CCL2	LIF	9606.ENSP00000225831	9606.ENSP00000249075	0	0	0	0	0.119	0	0.400	0.521	0.724
CCL2	THBS1	9606.ENSP00000225831	9606.ENSP00000260356	0	0	0	0	0.194	0	0	0.693	0.742
CCL2	SOCS3	9606.ENSP00000225831	9606.ENSP00000330341	0	0	0	0	0.196	0	0	0.700	0.749
CCL2	TLR2	9606.ENSP00000225831	9606.ENSP00000260010	0	0	0	0	0.119	0	0	0.771	0.790
CCL2	EDN1	9606.ENSP00000225831	9606.ENSP00000368683	0	0	0	0	0.118	0	0	0.773	0.791
CCL2	CXCL11	9606.ENSP00000225831	9606.ENSP00000306884	0	0	0	0	0.257	0	0	0.736	0.796
CCL2	SELE	9606.ENSP00000225831	9606.ENSP00000331736	0	0	0	0	0.180	0	0	0.777	0.810
CCL2	IFNG	9606.ENSP00000225831	9606.ENSP00000229135	0	0	0	0	0.195	0	0	0.926	0.938
CCL2	IL1B	9606.ENSP00000225831	9606.ENSP00000263341	0	0	0	0	0.239	0	0.400	0.940	0.970
CCL2	CCL20	9606.ENSP00000225831	9606.ENSP00000351671	0	0	0	0	0.148	0	0.400	0.962	0.979
CCL2	IL6	9606.ENSP00000225831	9606.ENSP00000385675	0	0	0	0	0.517	0	0.400	0.953	0.985
CCL2	CXCR1	9606.ENSP00000225831	9606.ENSP00000295683	0	0	0	0	0	0	0.650	0.989	0.996
CCL2	CXCR2	9606.ENSP00000225831	9606.ENSP00000319635	0	0	0	0	0	0	0.650	0.994	0.997
CCL2	CCL8	9606.ENSP00000225831	9606.ENSP00000378118	0	0	0.052	0.966	0.781	0.994	0	0.869	0.999
CCL20	CSF3	9606.ENSP00000351671	9606.ENSP00000225474	0	0	0	0	0.217	0	0.400	0.607	0.799
CCL20	IFNG	9606.ENSP00000351671	9606.ENSP00000229135	0	0	0	0	0.136	0	0	0.801	0.820
CCL20	IL1RL1	9606.ENSP00000351671	9606.ENSP00000233954	0	0	0	0	0.050	0	0	0.547	0.551
CCL20	LIF	9606.ENSP00000351671	9606.ENSP00000249075	0	0	0	0	0.251	0	0.400	0.290	0.653
CCL20	CHI3L1	9606.ENSP00000351671	9606.ENSP00000255409	0	0	0	0	0.092	0	0	0.475	0.503
CCL20	TLR2	9606.ENSP00000351671	9606.ENSP00000260010	0	0	0	0	0.060	0.091	0	0.579	0.608
CCL20	IL1B	9606.ENSP00000351671	9606.ENSP00000263341	0	0	0	0	0.338	0	0.400	0.903	0.958
CCL20	SELP	9606.ENSP00000351671	9606.ENSP00000263686	0	0	0	0	0.098	0.045	0	0.494	0.526
CCL20	CXCR1	9606.ENSP00000351671	9606.ENSP00000295683	0	0	0	0	0	0	0.650	0.700	0.890
CCL20	CXCL11	9606.ENSP00000351671	9606.ENSP00000306884	0	0	0	0	0.100	0.994	0.500	0.720	0.999
CCL20	CXCR2	9606.ENSP00000351671	9606.ENSP00000319635	0	0	0	0	0	0	0.650	0.861	0.949
CCL20	SOCS3	9606.ENSP00000351671	9606.ENSP00000330341	0	0	0	0	0.126	0	0	0.376	0.431
CCL20	IL1R2	9606.ENSP00000351671	9606.ENSP00000330959	0	0	0	0	0.086	0.091	0	0.603	0.642
CCL20	SELE	9606.ENSP00000351671	9606.ENSP00000331736	0	0	0	0	0.141	0.045	0	0.418	0.481
CCL20	S100A9	9606.ENSP00000351671	9606.ENSP00000357727	0	0	0	0	0.107	0.095	0	0.414	0.485
CCL20	FCGR1A	9606.ENSP00000351671	9606.ENSP00000358165	0	0	0	0	0.099	0	0	0.479	0.511
CCL20	FPR2	9606.ENSP00000351671	9606.ENSP00000468897	0	0	0	0	0.060	0	0	0.507	0.516
CCL20	IL2RA	9606.ENSP00000351671	9606.ENSP00000369293	0	0	0	0	0.099	0	0	0.591	0.615
CCL20	CCL8	9606.ENSP00000351671	9606.ENSP00000378118	0	0	0	0	0.110	0	0	0.762	0.779
CCL20	IL6	9606.ENSP00000351671	9606.ENSP00000385675	0	0	0	0	0.332	0	0.400	0.852	0.935
CCL8	CSF3	9606.ENSP00000378118	9606.ENSP00000225474	0	0	0	0	0.099	0	0	0.446	0.479
CCL8	IFNG	9606.ENSP00000378118	9606.ENSP00000229135	0	0	0	0	0.243	0	0	0.591	0.677
CCL8	TLR2	9606.ENSP00000378118	9606.ENSP00000260010	0	0	0	0	0.142	0	0	0.378	0.443
CCL8	IL1B	9606.ENSP00000378118	9606.ENSP00000263341	0	0	0	0	0.175	0	0	0.599	0.655
CCL8	SELP	9606.ENSP00000378118	9606.ENSP00000263686	0	0	0	0	0.092	0	0	0.460	0.489
CCL8	CXCR1	9606.ENSP00000378118	9606.ENSP00000295683	0	0	0	0	0.082	0	0.650	0.424	0.799
CCL8	CXCL11	9606.ENSP00000378118	9606.ENSP00000306884	0	0	0	0	0.516	0.994	0	0.790	0.999
CCL8	CXCR2	9606.ENSP00000378118	9606.ENSP00000319635	0	0	0	0	0.068	0	0.650	0.837	0.942
CCL8	SELE	9606.ENSP00000378118	9606.ENSP00000331736	0	0	0	0	0.198	0	0	0.497	0.580
CCL8	IL6	9606.ENSP00000378118	9606.ENSP00000385675	0	0	0	0	0.223	0	0	0.614	0.687
CD14	TTR	9606.ENSP00000385519	9606.ENSP00000237014	0	0	0	0	0.042	0	0	0.459	0.459
CD14	CD93	9606.ENSP00000385519	9606.ENSP00000246006	0	0	0	0	0.336	0	0	0.164	0.421
CD14	TLR2	9606.ENSP00000385519	9606.ENSP00000260010	0	0	0	0	0.485	0.541	0.900	0.706	0.992
CD14	IL1B	9606.ENSP00000385519	9606.ENSP00000263341	0	0	0	0	0.196	0	0	0.360	0.463
CD14	FCGR2A	9606.ENSP00000385519	9606.ENSP00000271450	0	0	0	0	0.344	0	0	0.150	0.419
CD14	S100A8	9606.ENSP00000385519	9606.ENSP00000357721	0	0	0	0	0.420	0	0.500	0.197	0.746
CD14	S100A9	9606.ENSP00000385519	9606.ENSP00000357727	0	0	0	0	0.437	0	0.500	0.239	0.767
CD14	FCGR1A	9606.ENSP00000385519	9606.ENSP00000358165	0	0	0	0	0.253	0	0	0.249	0.415
CD14	IL6	9606.ENSP00000385519	9606.ENSP00000385675	0	0	0	0	0.062	0	0	0.390	0.403
CD14	FPR1	9606.ENSP00000385519	9606.ENSP00000471493	0	0	0	0	0.533	0	0	0.133	0.577
CD207	IFNG	9606.ENSP00000386378	9606.ENSP00000229135	0	0	0	0	0.067	0	0	0.532	0.545
CD207	TLR2	9606.ENSP00000386378	9606.ENSP00000260010	0	0	0	0	0.055	0.045	0	0.418	0.429
CD207	IL1B	9606.ENSP00000386378	9606.ENSP00000263341	0	0	0	0	0.105	0	0	0.468	0.503
CD207	CLEC4F	9606.ENSP00000386378	9606.ENSP00000272367	0	0	0	0.762	0.479	0.174	0	0.460	0.747
CD207	SIGLEC7	9606.ENSP00000386378	9606.ENSP00000323328	0	0	0	0	0	0	0	0.502	0.502
CD207	CR2	9606.ENSP00000386378	9606.ENSP00000356024	0	0	0	0	0.068	0	0	0.391	0.408
