	label	#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
0	1	A2M	ALB	9606.ENSP00000323929	9606.ENSP00000295897	0.0	0	0.0	0.0	0.121	0.152	0.0	0.92	0.935
1	1	ABCC3	ALB	9606.ENSP00000285238	9606.ENSP00000295897	0.0	0	0.0	0.0	0.065	0.0	0.9	0.265	0.925
2	1	AGXT	HOGA1	9606.ENSP00000302620	9606.ENSP00000359680	0.078	0	0.0	0.0	0.269	0.0	0.9	0.861	0.989
3	1	AHSG	ALB	9606.ENSP00000393887	9606.ENSP00000295897	0.0	0	0.0	0.0	0.959	0.158	0.0	0.754	0.99
4	1	ALB	TTR	9606.ENSP00000295897	9606.ENSP00000237014	0.0	0	0.0	0.0	0.297	0.348	0.0	0.887	0.943
5	1	ALB	CP	9606.ENSP00000295897	9606.ENSP00000264613	0.0	0	0.0	0.0	0.167	0.0	0.0	0.916	0.927
6	1	ALB	SERPINC1	9606.ENSP00000295897	9606.ENSP00000356671	0.0	0	0.0	0.0	0.6	0.104	0.0	0.819	0.929
7	1	ALB	CAV1	9606.ENSP00000295897	9606.ENSP00000339191	0.0	0	0.0	0.0	0.0	0.0	0.0	0.931	0.931
8	1	ALB	SERPINA1	9606.ENSP00000295897	9606.ENSP00000416066	0.0	0	0.0	0.0	0.287	0.254	0.0	0.919	0.954
9	1	ALB	GCG	9606.ENSP00000295897	9606.ENSP00000387662	0.0	0	0.0	0.0	0.0	0.0	0.0	0.988	0.988
10	1	AMPD3	GMPR	9606.ENSP00000379802	9606.ENSP00000259727	0.06	0	0.0	0.0	0.073	0.157	0.9	0.584	0.963
11	1	AOC1	MAOB	9606.ENSP00000411613	9606.ENSP00000367309	0.0	0	0.0	0.0	0.057	0.0	0.8	0.548	0.907
12	1	AQP4	GFAP	9606.ENSP00000372654	9606.ENSP00000468500	0.0	0	0.0	0.0	0.658	0.0	0.0	0.743	0.908
13	1	AQP4	TRPV4	9606.ENSP00000372654	9606.ENSP00000406191	0.0	0	0.0	0.0	0.0	0.182	0.0	0.989	0.991
14	1	CAV1	TRADD	9606.ENSP00000339191	9606.ENSP00000341268	0.0	0	0.0	0.0	0.0	0.27	0.9	0.453	0.956
15	1	CCNO	MCIDAS	9606.ENSP00000282572	9606.ENSP00000426359	0.0	0	0.0	0.0	0.385	0.0	0.0	0.864	0.913
16	1	CDH17	OLFM4	9606.ENSP00000027335	9606.ENSP00000219022	0.0	0	0.0	0.0	0.077	0.0	0.0	0.955	0.956
17	1	CP	SLC40A1	9606.ENSP00000264613	9606.ENSP00000261024	0.0	0	0.0	0.0	0.062	0.345	0.8	0.683	0.956
18	1	DCT	TYR	9606.ENSP00000392762	9606.ENSP00000263321	0.0	0	0.0	0.885	0.783	0.342	0.9	0.876	0.986
19	1	DCT	TYRP1	9606.ENSP00000392762	9606.ENSP00000373570	0.0	0	0.0	0.927	0.548	0.0	0.9	0.952	0.956
20	1	DNAH11	DNAI1	9606.ENSP00000475939	9606.ENSP00000480538	0.0	0	0.0	0.0	0.246	0.198	0.0	0.869	0.914
21	1	DNAH5	DNAI1	9606.ENSP00000265104	9606.ENSP00000480538	0.0	0	0.0	0.0	0.185	0.198	0.54	0.899	0.965
22	1	F5	SERPINC1	9606.ENSP00000356771	9606.ENSP00000356671	0.0	0	0.0	0.0	0.141	0.113	0.9	0.686	0.972
23	1	FABP1	FABP2	9606.ENSP00000295834	9606.ENSP00000274024	0.0	0	0.0	0.0	0.481	0.0	0.0	0.865	0.926
24	1	FCGBP	TFF3	9606.ENSP00000481056	9606.ENSP00000430690	0.0	0	0.0	0.0	0.076	0.0	0.0	0.982	0.983
25	1	GALNT10	MUC17	9606.ENSP00000297107	9606.ENSP00000302716	0.0	0	0.0	0.0	0.0	0.0	0.9	0.115	0.907
26	1	GALNT10	MUC13	9606.ENSP00000297107	9606.ENSP00000485028	0.0	0	0.0	0.0	0.0	0.0	0.9	0.129	0.909
27	1	GALNT10	MUC16	9606.ENSP00000297107	9606.ENSP00000381008	0.0	0	0.0	0.0	0.0	0.0	0.9	0.438	0.941
31	1	GALNT14	MUC17	9606.ENSP00000314500	9606.ENSP00000302716	0.0	0	0.0	0.0	0.0	0.0	0.9	0.103	0.906
32	1	GALNT14	MUC16	9606.ENSP00000314500	9606.ENSP00000381008	0.0	0	0.0	0.0	0.0	0.0	0.9	0.418	0.939
33	1	GALNT14	MUC13	9606.ENSP00000314500	9606.ENSP00000485028	0.0	0	0.0	0.0	0.0	0.27	0.9	0.725	0.978
34	1	GALNT5	MUC17	9606.ENSP00000259056	9606.ENSP00000302716	0.0	0	0.0	0.0	0.0	0.0	0.9	0.0	0.9
35	1	GALNT5	MUC13	9606.ENSP00000259056	9606.ENSP00000485028	0.0	0	0.0	0.0	0.0	0.0	0.9	0.0	0.9
36	1	GALNT5	MUC16	9606.ENSP00000259056	9606.ENSP00000381008	0.0	0	0.0	0.0	0.0	0.0	0.9	0.08	0.904
37	1	HKDC1	SI	9606.ENSP00000346643	9606.ENSP00000264382	0.0	0	0.0	0.0	0.107	0.0	0.9	0.063	0.909
38	1	HSD17B2	SRD5A2	9606.ENSP00000199936	9606.ENSP00000477587	0.0	0	0.0	0.0	0.063	0.0	0.9	0.595	0.958
39	1	IL1R1	IL1RAP	9606.ENSP00000386380	9606.ENSP00000314807	0.0	0	0.0	0.636	0.062	0.976	0.9	0.989	0.998
40	1	ITGB4	LAMB3	9606.ENSP00000200181	9606.ENSP00000375778	0.0	0	0.0	0.0	0.233	0.14	0.9	0.765	0.982
41	1	LAMB3	MMP7	9606.ENSP00000375778	9606.ENSP00000260227	0.0	0	0.0	0.0	0.076	0.0	0.9	0.194	0.919
42	1	LAMB3	PLG	9606.ENSP00000375778	9606.ENSP00000308938	0.0	0	0.0	0.0	0.0	0.0	0.9	0.109	0.907
43	1	LCN2	MMP1	9606.ENSP00000362108	9606.ENSP00000322788	0.0	0	0.0	0.0	0.052	0.0	0.9	0.508	0.949
44	1	MITF	TYR	9606.ENSP00000295600	9606.ENSP00000263321	0.0	0	0.0	0.0	0.178	0.182	0.0	0.905	0.93
45	1	MITF	TYRP1	9606.ENSP00000295600	9606.ENSP00000373570	0.0	0	0.0	0.0	0.136	0.0	0.0	0.894	0.905
46	1	MMP1	MMP7	9606.ENSP00000322788	9606.ENSP00000260227	0.0	0	0.265	0.919	0.062	0.213	0.9	0.806	0.926
47	1	MMP1	PLG	9606.ENSP00000322788	9606.ENSP00000308938	0.0	0	0.0	0.0	0.064	0.0	0.9	0.631	0.962
48	1	MUC13	ST6GALNAC2	9606.ENSP00000485028	9606.ENSP00000225276	0.0	0	0.0	0.0	0.0	0.0	0.9	0.048	0.9
49	1	MUC13	MUC17	9606.ENSP00000485028	9606.ENSP00000302716	0.0	0	0.0	0.0	0.162	0.0	0.9	0.814	0.983
50	1	MUC13	MUC16	9606.ENSP00000485028	9606.ENSP00000381008	0.0	0	0.0	0.0	0.0	0.0	0.9	0.747	0.973
51	1	MUC16	ST6GALNAC2	9606.ENSP00000381008	9606.ENSP00000225276	0.0	0	0.0	0.0	0.076	0.0	0.9	0.105	0.91
52	1	MUC16	MUC17	9606.ENSP00000381008	9606.ENSP00000302716	0.0	0	0.0	0.0	0.0	0.0	0.9	0.752	0.974
53	1	MUC17	ST6GALNAC2	9606.ENSP00000302716	9606.ENSP00000225276	0.0	0	0.0	0.0	0.0	0.0	0.9	0.0	0.9
54	1	MYH14	MYH2	9606.ENSP00000470298	9606.ENSP00000245503	0.0	0	0.0	0.87	0.0	0.0	0.9	0.305	0.903
55	1	NR0B2	NR1H4	9606.ENSP00000254227	9606.ENSP00000447149	0.0	0	0.0	0.0	0.439	0.0	0.0	0.962	0.978
56	1	PLG	SERPINE1	9606.ENSP00000308938	9606.ENSP00000223095	0.0	0	0.0	0.0	0.063	0.33	0.9	0.938	0.995
57	1	PLG	SERPINC1	9606.ENSP00000308938	9606.ENSP00000356671	0.0	0	0.0	0.0	0.674	0.391	0.0	0.917	0.982
58	1	PLG	SERPINB2	9606.ENSP00000308938	9606.ENSP00000401645	0.0	0	0.0	0.0	0.063	0.12	0.9	0.869	0.987
59	1	SGMS2	SGPP2	9606.ENSP00000378176	9606.ENSP00000315137	0.0	0	0.0	0.0	0.055	0.0	0.9	0.515	0.95
