#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A2M	ALB	9606.ENSP00000323929	9606.ENSP00000295897	0	0	0	0	0.121	0.152	0	0.920	0.935
ABCC3	ALB	9606.ENSP00000285238	9606.ENSP00000295897	0	0	0	0	0.065	0	0.900	0.265	0.925
AGXT	HOGA1	9606.ENSP00000302620	9606.ENSP00000359680	0.078	0	0	0	0.269	0	0.900	0.861	0.989
AHSG	ALB	9606.ENSP00000393887	9606.ENSP00000295897	0	0	0	0	0.959	0.158	0	0.754	0.990
ALB	TTR	9606.ENSP00000295897	9606.ENSP00000237014	0	0	0	0	0.297	0.348	0	0.887	0.943
ALB	CP	9606.ENSP00000295897	9606.ENSP00000264613	0	0	0	0	0.167	0	0	0.916	0.927
ALB	SERPINC1	9606.ENSP00000295897	9606.ENSP00000356671	0	0	0	0	0.600	0.104	0	0.819	0.929
ALB	CAV1	9606.ENSP00000295897	9606.ENSP00000339191	0	0	0	0	0	0	0	0.931	0.931
ALB	SERPINA1	9606.ENSP00000295897	9606.ENSP00000416066	0	0	0	0	0.287	0.254	0	0.919	0.954
ALB	GCG	9606.ENSP00000295897	9606.ENSP00000387662	0	0	0	0	0	0	0	0.988	0.988
AMPD3	GMPR	9606.ENSP00000379802	9606.ENSP00000259727	0.060	0	0	0	0.073	0.157	0.900	0.584	0.963
AOC1	MAOB	9606.ENSP00000411613	9606.ENSP00000367309	0	0	0	0	0.057	0	0.800	0.548	0.907
AQP4	GFAP	9606.ENSP00000372654	9606.ENSP00000468500	0	0	0	0	0.658	0	0	0.743	0.908
AQP4	TRPV4	9606.ENSP00000372654	9606.ENSP00000406191	0	0	0	0	0	0.182	0	0.989	0.991
CAV1	TRADD	9606.ENSP00000339191	9606.ENSP00000341268	0	0	0	0	0	0.270	0.900	0.453	0.956
CCNO	MCIDAS	9606.ENSP00000282572	9606.ENSP00000426359	0	0	0	0	0.385	0	0	0.864	0.913
CDH17	OLFM4	9606.ENSP00000027335	9606.ENSP00000219022	0	0	0	0	0.077	0	0	0.955	0.956
CP	SLC40A1	9606.ENSP00000264613	9606.ENSP00000261024	0	0	0	0	0.062	0.345	0.800	0.683	0.956
DCT	TYR	9606.ENSP00000392762	9606.ENSP00000263321	0	0	0	0.885	0.783	0.342	0.900	0.876	0.986
DCT	TYRP1	9606.ENSP00000392762	9606.ENSP00000373570	0	0	0	0.927	0.548	0	0.900	0.952	0.956
DNAH11	DNAI1	9606.ENSP00000475939	9606.ENSP00000480538	0	0	0	0	0.246	0.198	0	0.869	0.914
DNAH5	DNAI1	9606.ENSP00000265104	9606.ENSP00000480538	0	0	0	0	0.185	0.198	0.540	0.899	0.965
F5	SERPINC1	9606.ENSP00000356771	9606.ENSP00000356671	0	0	0	0	0.141	0.113	0.900	0.686	0.972
FABP1	FABP2	9606.ENSP00000295834	9606.ENSP00000274024	0	0	0	0	0.481	0	0	0.865	0.926
FCGBP	TFF3	9606.ENSP00000481056	9606.ENSP00000430690	0	0	0	0	0.076	0	0	0.982	0.983
GALNT10	MUC17	9606.ENSP00000297107	9606.ENSP00000302716	0	0	0	0	0	0	0.900	0.115	0.907
GALNT10	MUC13	9606.ENSP00000297107	9606.ENSP00000485028	0	0	0	0	0	0	0.900	0.129	0.909
GALNT10	MUC16	9606.ENSP00000297107	9606.ENSP00000381008	0	0	0	0	0	0	0.900	0.438	0.941
GALNT12	MUC17	9606.ENSP00000364150	9606.ENSP00000302716	0	0	0	0	0	0	0.900	0.202	0.916
GALNT12	MUC13	9606.ENSP00000364150	9606.ENSP00000485028	0	0	0	0	0	0	0.900	0.097	0.905
GALNT12	MUC16	9606.ENSP00000364150	9606.ENSP00000381008	0	0	0	0	0	0	0.900	0.207	0.917
GALNT14	MUC17	9606.ENSP00000314500	9606.ENSP00000302716	0	0	0	0	0	0	0.900	0.103	0.906
GALNT14	MUC16	9606.ENSP00000314500	9606.ENSP00000381008	0	0	0	0	0	0	0.900	0.418	0.939
GALNT14	MUC13	9606.ENSP00000314500	9606.ENSP00000485028	0	0	0	0	0	0.270	0.900	0.725	0.978
GALNT5	MUC17	9606.ENSP00000259056	9606.ENSP00000302716	0	0	0	0	0	0	0.900	0	0.900
GALNT5	MUC13	9606.ENSP00000259056	9606.ENSP00000485028	0	0	0	0	0	0	0.900	0	0.900
GALNT5	MUC16	9606.ENSP00000259056	9606.ENSP00000381008	0	0	0	0	0	0	0.900	0.080	0.904
HKDC1	SI	9606.ENSP00000346643	9606.ENSP00000264382	0	0	0	0	0.107	0	0.900	0.063	0.909
HSD17B2	SRD5A2	9606.ENSP00000199936	9606.ENSP00000477587	0	0	0	0	0.063	0	0.900	0.595	0.958
IL1R1	IL1RAP	9606.ENSP00000386380	9606.ENSP00000314807	0	0	0	0.636	0.062	0.976	0.900	0.989	0.998
ITGB4	LAMB3	9606.ENSP00000200181	9606.ENSP00000375778	0	0	0	0	0.233	0.140	0.900	0.765	0.982
